City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
mahebourg,40.0,MU,1547312400.0,74.0,-20.41,57.7,82.4,11.41
caravelas,0.0,BR,1547314170.0,100.0,-17.73,-39.27,80.94,11.1
ushuaia,75.0,AR,1547312400.0,87.0,-54.81,-68.31,44.6,34.45
kapaa,1.0,US,1547312160.0,87.0,22.08,-159.32,66.92,9.17
dikson,48.0,RU,1547314026.0,100.0,73.51,80.55,-17.03,31.79
pevek,0.0,RU,1547313277.0,58.0,69.7,170.27,-19.73,6.4
chuy,76.0,UY,1547313065.0,87.0,-33.69,-53.46,75.0,13.67
huarmey,12.0,PE,1547314171.0,49.0,-10.07,-78.15,80.85,5.95
bluff,0.0,AU,1547314171.0,84.0,-23.58,149.07,69.15,7.18
flinders,24.0,AU,1547314172.0,83.0,-34.58,150.85,69.29,7.74
mataura,100.0,NZ,1547313292.0,89.0,-46.19,168.86,44.22,3.15
butaritari,68.0,KI,1547314172.0,100.0,3.07,172.79,82.88,10.98
jamestown,0.0,AU,1547314172.0,41.0,-33.21,138.6,64.74,9.98
rikitea,88.0,PF,1547314173.0,99.0,-23.12,-134.97,79.14,14.56
antalaha,8.0,MG,1547314173.0,95.0,-14.9,50.28,78.24,3.27
muros,40.0,ES,1547312400.0,75.0,42.77,-9.06,51.8,9.17
hilo,90.0,US,1547311980.0,90.0,19.71,-155.08,66.92,12.44
cherskiy,56.0,RU,1547314174.0,51.0,68.75,161.3,-17.3,1.92
kaitangata,68.0,NZ,1547314174.0,84.0,-46.28,169.85,48.23,3.83
saint-philippe,1.0,CA,1547312400.0,60.0,45.36,-73.48,10.4,11.41
avarua,75.0,CK,1547312400.0,94.0,-21.21,-159.78,77.0,2.24
pangai,32.0,TO,1547314175.0,100.0,-19.8,-174.35,79.73,17.02
upernavik,32.0,GL,1547314175.0,100.0,72.79,-56.15,-5.6,14.23
albany,20.0,US,1547312280.0,34.0,42.65,-73.75,23.0,9.17
hami,44.0,CN,1547313987.0,57.0,42.84,93.51,4.89,1.59
barrow,24.0,AR,1547314176.0,68.0,-38.31,-60.23,83.64,13.56
ust-tsilma,88.0,RU,1547314176.0,71.0,65.44,52.15,17.63,9.08
smithers,90.0,CA,1547313600.0,100.0,54.78,-127.17,33.8,2.04
posse,36.0,BR,1547314176.0,64.0,-14.08,-46.36,86.25,2.15
vaini,0.0,IN,1547314177.0,87.0,15.34,74.49,62.72,2.15
guerrero negro,48.0,MX,1547314177.0,90.0,27.97,-114.04,58.62,3.94
belaya gora,44.0,RU,1547314177.0,0.0,68.54,146.19,-42.99,2.93
south lake tahoe,1.0,US,1547312100.0,84.0,38.93,-119.98,32.0,3.27
georgetown,75.0,GY,1547312400.0,66.0,6.8,-58.16,84.2,13.87
kruisfontein,0.0,ZA,1547314178.0,82.0,-34.0,24.73,65.6,11.43
kungalv,90.0,SE,1547311800.0,100.0,57.87,11.98,33.8,3.38
tasiilaq,75.0,GL,1547311800.0,67.0,65.61,-37.64,17.6,12.75
embu,0.0,KE,1547314179.0,71.0,-0.54,37.46,58.89,4.61
inta,80.0,RU,1547314179.0,77.0,66.04,60.13,17.31,6.62
kurmanayevka,92.0,RU,1547314179.0,98.0,52.51,52.07,36.57,20.38
punta arenas,40.0,CL,1547312400.0,53.0,-53.16,-70.91,51.8,34.45
cidreira,80.0,BR,1547314180.0,89.0,-30.17,-50.22,77.75,14.79
saskylakh,0.0,RU,1547314180.0,0.0,71.97,114.09,-53.16,4.72
nadym,76.0,RU,1547314181.0,64.0,65.53,72.51,-3.66,16.8
victoria,75.0,BN,1547312400.0,88.0,5.28,115.24,82.4,3.36
rakaia,8.0,NZ,1547312400.0,93.0,-43.76,172.02,55.4,8.05
carnarvon,0.0,ZA,1547314181.0,35.0,-30.97,22.13,72.08,10.87
muzhi,76.0,RU,1547314182.0,78.0,65.4,64.7,6.83,15.46
hobart,20.0,AU,1547312400.0,81.0,-42.88,147.33,50.0,9.17
le port,0.0,FR,1547308800.0,45.0,42.87,1.37,46.4,8.05
hambantota,92.0,LK,1547314183.0,100.0,6.12,81.12,78.02,13.22
atuona,92.0,PF,1547314183.0,100.0,-9.8,-139.03,79.86,16.24
